,question,answer,document
54,Iris,https://globoplay.globo.com/iris/t/MMkY2wtxkk/,https://globoplay.globo.com/categorias/filmes-de-suspense/
55,Blitz,https://globoplay.globo.com/blitz/t/HvtnxV9Bnj/,https://globoplay.globo.com/categorias/filmes-de-suspense/
56,Bufo & Spallanzani,https://globoplay.globo.com/bufo-spallanzani/t/8T8mQqCWvD/,https://globoplay.globo.com/categorias/filmes-de-suspense/
57,O Chamado 2,https://globoplay.globo.com/o-chamado-2/t/5Gg2tW1yZy/,https://globoplay.globo.com/categorias/filmes-de-suspense/
58,A Tentação,https://globoplay.globo.com/a-tentacao/t/XmNdY5Bj1f/,https://globoplay.globo.com/categorias/filmes-de-suspense/
59,Parasita,https://globoplay.globo.com/parasita/t/nNRCJg5rkJ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
60,O Chamado,https://globoplay.globo.com/o-chamado/t/jyQMfBsxTQ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
61,Terra Estranha,https://globoplay.globo.com/terra-estranha/t/61kYR2SKJx/,https://globoplay.globo.com/categorias/filmes-de-suspense/
62,Garota Sombria Caminha Pela Noite,https://globoplay.globo.com/garota-sombria-caminha-pela-noite/t/5mbwTvSryj/,https://globoplay.globo.com/categorias/filmes-de-suspense/
63,John Wick: Um Novo Dia Para Matar,https://globoplay.globo.com/john-wick-um-novo-dia-para-matar/t/9sxcgDQCKP/,https://globoplay.globo.com/categorias/filmes-de-suspense/
64,Doce Vingança,https://globoplay.globo.com/doce-vinganca/t/zmsChbXyL8/,https://globoplay.globo.com/categorias/filmes-de-suspense/
65,O Juízo,https://globoplay.globo.com/o-juizo/t/6bWQKbRTzQ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
66,Sozinha,https://globoplay.globo.com/sozinha/t/5jZ9JkfvZZ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
67,Pássaro Branco Na Nevasca,https://globoplay.globo.com/passaro-branco-na-nevasca/t/Khqwkb6Ckh/,https://globoplay.globo.com/categorias/filmes-de-suspense/
68,Fragmentado,https://globoplay.globo.com/fragmentado/t/QXJQc6ZRmk/,https://globoplay.globo.com/categorias/filmes-de-suspense/
69,Bastardos,https://globoplay.globo.com/bastardos/t/jvFrddDFL5/,https://globoplay.globo.com/categorias/filmes-de-suspense/
70,Albatroz,https://globoplay.globo.com/albatroz/t/2fQVPyFRd2/,https://globoplay.globo.com/categorias/filmes-de-suspense/
71,Lacuna,https://globoplay.globo.com/lacuna/t/cg1qX9QjTD/,https://globoplay.globo.com/categorias/filmes-de-suspense/
72,Lacuna,https://globoplay.globo.com/lacuna/t/cg1qX9QjTD/,https://globoplay.globo.com/categorias/filmes-de-suspense/
73,Tubarão 2,https://globoplay.globo.com/tubarao-2/t/ncWH6sChyt/,https://globoplay.globo.com/categorias/filmes-de-suspense/
74,Amityville: O Despertar,https://globoplay.globo.com/amityville-o-despertar/t/ZSbjnBwBPV/,https://globoplay.globo.com/categorias/filmes-de-suspense/
75,"Na Próxima, Acerto O Coração",https://globoplay.globo.com/na-proxima-acerto-o-coracao/t/QD9SftWgVC/,https://globoplay.globo.com/categorias/filmes-de-suspense/
76,Free Ride – O Caminho Mais Fácil,https://globoplay.globo.com/free-ride-o-caminho-mais-facil/t/hRzPHW6jCR/,https://globoplay.globo.com/categorias/filmes-de-suspense/
77,Betibú,https://globoplay.globo.com/betibu/t/6SRyNPv8zB/,https://globoplay.globo.com/categorias/filmes-de-suspense/
78,Postais Mortíferos,https://globoplay.globo.com/postais-mortiferos/t/HysCqXws1z/,https://globoplay.globo.com/categorias/filmes-de-suspense/
79,Invasão ao Serviço Secreto,https://globoplay.globo.com/invasao-ao-servico-secreto/t/LJ6DbM2KTM/,https://globoplay.globo.com/categorias/filmes-de-suspense/
80,Paranoia,https://globoplay.globo.com/paranoia/t/95tw99bRhb/,https://globoplay.globo.com/categorias/filmes-de-suspense/
81,O 3º andar - Terror na Rua Malasaña,https://globoplay.globo.com/o-3o-andar-terror-na-rua-malasana/t/gDGtH5JNgT/,https://globoplay.globo.com/categorias/filmes-de-suspense/
82,O Chamado do Mal,https://globoplay.globo.com/o-chamado-do-mal/t/XZ6cvcpgMj/,https://globoplay.globo.com/categorias/filmes-de-suspense/
83,Na Mira do Perigo,https://globoplay.globo.com/na-mira-do-perigo/t/QG7dWjWvTv/,https://globoplay.globo.com/categorias/filmes-de-suspense/
84,Onde Os Fracos Não Têm Vez,https://globoplay.globo.com/onde-os-fracos-nao-tem-vez/t/ybP252swPM/,https://globoplay.globo.com/categorias/filmes-de-suspense/
85,Deserto Em Fogo,https://globoplay.globo.com/deserto-em-fogo/t/pjwXCvq8Yh/,https://globoplay.globo.com/categorias/filmes-de-suspense/
86,Invocação do Mal,https://globoplay.globo.com/invocacao-do-mal/t/zsSn292ybQ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
87,Feitiço,https://globoplay.globo.com/feitico/t/XXy1PGkxXZ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
88,Os Intrusos,https://globoplay.globo.com/os-intrusos/t/gcSqnCdsxP/,https://globoplay.globo.com/categorias/filmes-de-suspense/
89,O Affair,https://globoplay.globo.com/o-affair/t/P89QdXf9Mx/,https://globoplay.globo.com/categorias/filmes-de-suspense/
90,Synchronic,https://globoplay.globo.com/synchronic/t/dxYGhzzPBR/,https://globoplay.globo.com/categorias/filmes-de-suspense/
91,Brinquedo Assassino (2019),https://globoplay.globo.com/brinquedo-assassino-2019/t/Y6GTvQcSfB/,https://globoplay.globo.com/categorias/filmes-de-suspense/
92,Entre Irmãos,https://globoplay.globo.com/entre-irmaos/t/nBt6hv1vnv/,https://globoplay.globo.com/categorias/filmes-de-suspense/
93,Ameaça no Espaço,https://globoplay.globo.com/ameaca-no-espaco/t/D6cCgBwP2r/,https://globoplay.globo.com/categorias/filmes-de-suspense/
94,Instinto Predador,https://globoplay.globo.com/instinto-predador/t/xgjtXRvvGP/,https://globoplay.globo.com/categorias/filmes-de-suspense/
95,O Plano Perfeito,https://globoplay.globo.com/o-plano-perfeito/t/TKbpVyXCp1/,https://globoplay.globo.com/categorias/filmes-de-suspense/
96,Jogos Mortais: Jigsaw,https://globoplay.globo.com/jogos-mortais-jigsaw/t/XJYvqJKBPS/,https://globoplay.globo.com/categorias/filmes-de-suspense/
97,Brincadeira Mortal,https://globoplay.globo.com/brincadeira-mortal/t/RRWp9sG6VZ/,https://globoplay.globo.com/categorias/filmes-de-suspense/
98,Rota De Fuga 3 - O Resgate,https://globoplay.globo.com/rota-de-fuga-3-o-resgate/t/Bc789zNZR1/,https://globoplay.globo.com/categorias/filmes-de-suspense/
99,A Viúva das Sombras,https://globoplay.globo.com/a-viuva-das-sombras/t/jRn2QJrbRM/,https://globoplay.globo.com/categorias/filmes-de-suspense/
100,Rainhas do Crime,https://globoplay.globo.com/rainhas-do-crime/t/JCKRFYcYrY/,https://globoplay.globo.com/categorias/filmes-de-suspense/
101,Entidade Maligna,https://globoplay.globo.com/entidade-maligna/t/sc68kZRkTf/,https://globoplay.globo.com/categorias/filmes-de-suspense/
